batch_id,instance_id,repetition,seed,core,pid,started_at_utc,finished_at_utc,wall_time_seconds,simulation_runtime_seconds,algorithm_time_seconds,algorithm_dispatch_count,score,return_code,status,workspace,log_path,error
20260730_035109,21,1,21001,0,2869002,2026-07-30T03:51:09.705590+00:00,2026-07-30T04:05:16.801236+00:00,847.096,846.293305,726.87,158,134.84,0,SUCCESS,jobs/instance_021/repetition_001_seed_21001,jobs/instance_021/repetition_001_seed_21001/worker.log,
20260730_035109,21,2,21002,1,2869003,2026-07-30T03:51:09.706258+00:00,2026-07-30T04:06:00.167316+00:00,890.461,889.606926,766.425,162,137.15499999999997,0,SUCCESS,jobs/instance_021/repetition_002_seed_21002,jobs/instance_021/repetition_002_seed_21002/worker.log,
20260730_035109,21,3,21003,2,2869004,2026-07-30T03:51:09.706875+00:00,2026-07-30T04:05:25.836665+00:00,856.13,855.221567,735.276,160,125.58999999999999,0,SUCCESS,jobs/instance_021/repetition_003_seed_21003,jobs/instance_021/repetition_003_seed_21003/worker.log,
20260730_035109,21,4,21004,3,2869005,2026-07-30T03:51:09.707383+00:00,2026-07-30T04:05:14.790337+00:00,845.083,844.250422,728.62,154,2383.225,0,SUCCESS,jobs/instance_021/repetition_004_seed_21004,jobs/instance_021/repetition_004_seed_21004/worker.log,
20260730_035109,21,5,21005,4,2869006,2026-07-30T03:51:09.707851+00:00,2026-07-30T04:05:03.550946+00:00,833.843,833.041811,713.885,159,132.45499999999998,0,SUCCESS,jobs/instance_021/repetition_005_seed_21005,jobs/instance_021/repetition_005_seed_21005/worker.log,
20260730_035109,22,1,22001,5,2869007,2026-07-30T03:51:09.708339+00:00,2026-07-30T04:05:04.961845+00:00,835.254,834.42157,713.309,158,1665.0972222222222,0,SUCCESS,jobs/instance_022/repetition_001_seed_22001,jobs/instance_022/repetition_001_seed_22001/worker.log,
20260730_035109,22,2,22002,6,2869008,2026-07-30T03:51:09.708803+00:00,2026-07-30T04:05:48.525272+00:00,878.816,877.826016,760.4,156,3327.9738888888887,0,SUCCESS,jobs/instance_022/repetition_002_seed_22002,jobs/instance_022/repetition_002_seed_22002/worker.log,
20260730_035109,22,3,22003,7,2869009,2026-07-30T03:51:09.709463+00:00,2026-07-30T04:04:52.925001+00:00,823.216,822.407263,704.814,157,3328.8638888888886,0,SUCCESS,jobs/instance_022/repetition_003_seed_22003,jobs/instance_022/repetition_003_seed_22003/worker.log,
20260730_035109,22,4,22004,8,2869010,2026-07-30T03:51:09.710603+00:00,2026-07-30T04:05:16.808668+00:00,847.098,846.108113,733.569,151,3264.4172222222223,0,SUCCESS,jobs/instance_022/repetition_004_seed_22004,jobs/instance_022/repetition_004_seed_22004/worker.log,
20260730_035109,22,5,22005,9,2869011,2026-07-30T03:51:09.711626+00:00,2026-07-30T04:05:12.176337+00:00,842.465,841.558793,725.222,156,1661.042222222222,0,SUCCESS,jobs/instance_022/repetition_005_seed_22005,jobs/instance_022/repetition_005_seed_22005/worker.log,
20260730_035109,23,1,23001,10,2869012,2026-07-30T03:51:09.712822+00:00,2026-07-30T04:05:31.857435+00:00,862.145,861.305321,741.92,159,133.955,0,SUCCESS,jobs/instance_023/repetition_001_seed_23001,jobs/instance_023/repetition_001_seed_23001/worker.log,
20260730_035109,23,2,23002,11,2869013,2026-07-30T03:51:09.714394+00:00,2026-07-30T04:05:41.496650+00:00,871.782,870.813371,751.866,157,2738.3711111111115,0,SUCCESS,jobs/instance_023/repetition_002_seed_23002,jobs/instance_023/repetition_002_seed_23002/worker.log,
20260730_035109,23,3,23003,12,2869014,2026-07-30T03:51:09.715966+00:00,2026-07-30T04:05:22.023911+00:00,852.308,851.326492,733.778,156,129.5,0,SUCCESS,jobs/instance_023/repetition_003_seed_23003,jobs/instance_023/repetition_003_seed_23003/worker.log,
20260730_035109,23,4,23004,13,2869015,2026-07-30T03:51:09.717559+00:00,2026-07-30T04:05:54.950525+00:00,885.233,884.366039,766.568,157,133.85500000000002,0,SUCCESS,jobs/instance_023/repetition_004_seed_23004,jobs/instance_023/repetition_004_seed_23004/worker.log,
20260730_035109,23,5,23005,14,2869016,2026-07-30T03:51:09.719131+00:00,2026-07-30T04:05:39.084985+00:00,869.366,868.570771,752.177,155,127.12,0,SUCCESS,jobs/instance_023/repetition_005_seed_23005,jobs/instance_023/repetition_005_seed_23005/worker.log,
20260730_035109,24,1,24001,15,2869017,2026-07-30T03:51:09.720712+00:00,2026-07-30T04:04:42.486314+00:00,812.766,811.892067,693.868,156,117.85500000000002,0,SUCCESS,jobs/instance_024/repetition_001_seed_24001,jobs/instance_024/repetition_001_seed_24001/worker.log,
20260730_035109,24,2,24002,16,2869018,2026-07-30T03:51:09.722289+00:00,2026-07-30T04:04:58.737952+00:00,829.016,828.155035,711.027,156,117.79000000000003,0,SUCCESS,jobs/instance_024/repetition_002_seed_24002,jobs/instance_024/repetition_002_seed_24002/worker.log,
20260730_035109,24,3,24003,17,2869019,2026-07-30T03:51:09.723902+00:00,2026-07-30T04:04:42.493740+00:00,812.77,811.862654,693.528,158,114.69500000000001,0,SUCCESS,jobs/instance_024/repetition_003_seed_24003,jobs/instance_024/repetition_003_seed_24003/worker.log,
20260730_035109,24,4,24004,18,2869020,2026-07-30T03:51:09.724724+00:00,2026-07-30T04:05:51.937433+00:00,882.213,881.295953,761.046,161,117.44500000000002,0,SUCCESS,jobs/instance_024/repetition_004_seed_24004,jobs/instance_024/repetition_004_seed_24004/worker.log,
20260730_035109,24,5,24005,19,2869021,2026-07-30T03:51:09.725644+00:00,2026-07-30T04:04:40.262830+00:00,810.537,809.572032,692.935,156,119.14500000000001,0,SUCCESS,jobs/instance_024/repetition_005_seed_24005,jobs/instance_024/repetition_005_seed_24005/worker.log,
20260730_035109,25,1,25001,19,2882676,2026-07-30T04:04:40.270436+00:00,2026-07-30T04:25:37.735990+00:00,1257.466,1256.46984,1121.662,178,917771.3155555555,0,SUCCESS,jobs/instance_025/repetition_001_seed_25001,jobs/instance_025/repetition_001_seed_25001/worker.log,
20260730_035109,25,2,25002,15,2882723,2026-07-30T04:04:42.500824+00:00,2026-07-30T04:26:11.504059+00:00,1289.003,1288.186614,1150.555,180,1295999.82,0,SUCCESS,jobs/instance_025/repetition_002_seed_25002,jobs/instance_025/repetition_002_seed_25002/worker.log,
20260730_035109,25,3,25003,17,2882724,2026-07-30T04:04:42.501555+00:00,2026-07-30T04:26:21.171784+00:00,1298.67,1297.906549,1156.394,186,1672516.1255555556,0,SUCCESS,jobs/instance_025/repetition_003_seed_25003,jobs/instance_025/repetition_003_seed_25003/worker.log,
20260730_035109,25,4,25004,7,2882927,2026-07-30T04:04:52.933160+00:00,2026-07-30T04:26:30.400197+00:00,1297.467,1296.550177,1159.713,180,1932601.2716666667,0,SUCCESS,jobs/instance_025/repetition_004_seed_25004,jobs/instance_025/repetition_004_seed_25004/worker.log,
20260730_035109,25,5,25005,16,2883048,2026-07-30T04:04:58.746737+00:00,2026-07-30T04:26:15.929322+00:00,1277.183,1276.280279,1141.529,177,855970.3272222222,0,SUCCESS,jobs/instance_025/repetition_005_seed_25005,jobs/instance_025/repetition_005_seed_25005/worker.log,
20260730_035109,26,1,26001,4,2883154,2026-07-30T04:05:03.560087+00:00,2026-07-30T04:25:59.254846+00:00,1255.695,1254.84315,1112.431,188,3762645.6133333333,0,SUCCESS,jobs/instance_026/repetition_001_seed_26001,jobs/instance_026/repetition_001_seed_26001/worker.log,
20260730_035109,26,2,26002,5,2883186,2026-07-30T04:05:04.970369+00:00,2026-07-30T04:25:50.185149+00:00,1245.215,1244.299144,1098.526,189,3151768.101111111,0,SUCCESS,jobs/instance_026/repetition_002_seed_26002,jobs/instance_026/repetition_002_seed_26002/worker.log,
20260730_035109,26,3,26003,9,2883340,2026-07-30T04:05:12.184063+00:00,2026-07-30T04:26:47.835394+00:00,1295.651,1294.729639,1147.213,195,3325266.8883333337,0,SUCCESS,jobs/instance_026/repetition_003_seed_26003,jobs/instance_026/repetition_003_seed_26003/worker.log,
20260730_035109,26,4,26004,3,2883401,2026-07-30T04:05:14.799037+00:00,2026-07-30T04:25:14.231027+00:00,1199.432,1198.624777,1059.908,183,2903825.042777778,0,SUCCESS,jobs/instance_026/repetition_004_seed_26004,jobs/instance_026/repetition_004_seed_26004/worker.log,
20260730_035109,26,5,26005,0,2883430,2026-07-30T04:05:16.816013+00:00,2026-07-30T04:25:41.357442+00:00,1224.541,1223.602472,1083.036,185,2477216.9394444446,0,SUCCESS,jobs/instance_026/repetition_005_seed_26005,jobs/instance_026/repetition_005_seed_26005/worker.log,
20260730_035109,27,1,27001,8,2883431,2026-07-30T04:05:16.816762+00:00,2026-07-30T04:25:20.882959+00:00,1204.066,1203.211572,1082.514,160,12054.447222222223,0,SUCCESS,jobs/instance_027/repetition_001_seed_27001,jobs/instance_027/repetition_001_seed_27001/worker.log,
20260730_035109,27,2,27002,12,2883549,2026-07-30T04:05:22.032801+00:00,2026-07-30T04:26:06.281165+00:00,1244.248,1243.341712,1121.721,161,61984.36611111111,0,SUCCESS,jobs/instance_027/repetition_002_seed_27002,jobs/instance_027/repetition_002_seed_27002/worker.log,
20260730_035109,27,3,27003,2,2883625,2026-07-30T04:05:25.845363+00:00,2026-07-30T04:25:57.035400+00:00,1231.19,1230.204337,1107.714,162,48330.73944444444,0,SUCCESS,jobs/instance_027/repetition_003_seed_27003,jobs/instance_027/repetition_003_seed_27003/worker.log,
20260730_035109,27,4,27004,10,2883750,2026-07-30T04:05:31.865860+00:00,2026-07-30T04:25:52.212651+00:00,1220.347,1219.481981,1097.458,161,112508.47777777778,0,SUCCESS,jobs/instance_027/repetition_004_seed_27004,jobs/instance_027/repetition_004_seed_27004/worker.log,
20260730_035109,27,5,27005,14,2883909,2026-07-30T04:05:39.094102+00:00,2026-07-30T04:26:19.553065+00:00,1240.459,1239.645506,1119.713,159,10153.288888888888,0,SUCCESS,jobs/instance_027/repetition_005_seed_27005,jobs/instance_027/repetition_005_seed_27005/worker.log,
20260730_035109,28,1,28001,11,2883948,2026-07-30T04:05:41.503894+00:00,2026-07-30T04:24:25.334631+00:00,1123.831,1122.751598,998.1,164,193658.75166666665,0,SUCCESS,jobs/instance_028/repetition_001_seed_28001,jobs/instance_028/repetition_001_seed_28001/worker.log,
20260730_035109,28,2,28002,6,2884092,2026-07-30T04:05:48.532748+00:00,2026-07-30T04:25:02.603579+00:00,1154.071,1153.135758,1027.58,166,42409.26277777778,0,SUCCESS,jobs/instance_028/repetition_002_seed_28002,jobs/instance_028/repetition_002_seed_28002/worker.log,
20260730_035109,28,3,28003,18,2884152,2026-07-30T04:05:51.947609+00:00,2026-07-30T04:24:45.168023+00:00,1133.22,1132.372825,1007.906,165,22830.585,0,SUCCESS,jobs/instance_028/repetition_003_seed_28003,jobs/instance_028/repetition_003_seed_28003/worker.log,
20260730_035109,28,4,28004,13,2884211,2026-07-30T04:05:54.960560+00:00,2026-07-30T04:23:55.485800+00:00,1080.525,1079.578269,954.459,166,142326.35166666665,0,SUCCESS,jobs/instance_028/repetition_004_seed_28004,jobs/instance_028/repetition_004_seed_28004/worker.log,
20260730_035109,28,5,28005,1,2884317,2026-07-30T04:06:00.177338+00:00,2026-07-30T04:25:29.908468+00:00,1169.731,1168.841202,1044.767,162,15339.87611111111,0,SUCCESS,jobs/instance_028/repetition_005_seed_28005,jobs/instance_028/repetition_005_seed_28005/worker.log,
20260730_035109,29,1,29001,13,2897668,2026-07-30T04:23:55.503310+00:00,2026-07-30T04:45:21.485140+00:00,1285.982,1284.998035,1148.105,181,1438778.505,0,SUCCESS,jobs/instance_029/repetition_001_seed_29001,jobs/instance_029/repetition_001_seed_29001/worker.log,
20260730_035109,29,2,29002,11,2898209,2026-07-30T04:24:25.350820+00:00,2026-07-30T04:45:59.396390+00:00,1294.046,1293.215727,1157.234,177,1633680.9283333332,0,SUCCESS,jobs/instance_029/repetition_002_seed_29002,jobs/instance_029/repetition_002_seed_29002/worker.log,
20260730_035109,29,3,29003,18,2898604,2026-07-30T04:24:45.184617+00:00,2026-07-30T04:46:31.886172+00:00,1306.702,1305.839581,1171.512,177,1188599.6455555556,0,SUCCESS,jobs/instance_029/repetition_003_seed_29003,jobs/instance_029/repetition_003_seed_29003/worker.log,
20260730_035109,29,4,29004,6,2898997,2026-07-30T04:25:02.621559+00:00,2026-07-30T04:46:33.108516+00:00,1290.487,1289.513877,1155.329,177,1609189.7566666668,0,SUCCESS,jobs/instance_029/repetition_004_seed_29004,jobs/instance_029/repetition_004_seed_29004/worker.log,
