batch_id,instance_id,repetition,seed,core,pid,started_at_utc,finished_at_utc,wall_time_seconds,simulation_runtime_seconds,algorithm_time_seconds,algorithm_dispatch_count,score,return_code,status,workspace,log_path,error
20260727_110733,1,1,1001,0,987253,2026-07-27T11:07:33.617947+00:00,2026-07-27T11:14:37.547513+00:00,423.93,423.099426,306.387,151,141.0,0,SUCCESS,jobs/instance_001/repetition_001_seed_1001,jobs/instance_001/repetition_001_seed_1001/worker.log,
20260727_110733,1,2,1002,1,987254,2026-07-27T11:07:33.618571+00:00,2026-07-27T11:14:44.986245+00:00,431.368,430.329025,312.359,153,139.0,0,SUCCESS,jobs/instance_001/repetition_002_seed_1002,jobs/instance_001/repetition_002_seed_1002/worker.log,
20260727_110733,1,3,1003,2,987255,2026-07-27T11:07:33.619108+00:00,2026-07-27T11:14:59.631642+00:00,446.013,445.145511,324.46,157,137.82,0,SUCCESS,jobs/instance_001/repetition_003_seed_1003,jobs/instance_001/repetition_003_seed_1003/worker.log,
20260727_110733,1,4,1004,3,987256,2026-07-27T11:07:33.619615+00:00,2026-07-27T11:15:05.064674+00:00,451.445,450.500677,328.941,154,133.95999999999998,0,SUCCESS,jobs/instance_001/repetition_004_seed_1004,jobs/instance_001/repetition_004_seed_1004/worker.log,
20260727_110733,1,5,1005,4,987257,2026-07-27T11:07:33.620080+00:00,2026-07-27T11:14:53.815945+00:00,440.196,439.36551,321.637,154,129.78,0,SUCCESS,jobs/instance_001/repetition_005_seed_1005,jobs/instance_001/repetition_005_seed_1005/worker.log,
20260727_110733,2,1,2001,5,987258,2026-07-27T11:07:33.620619+00:00,2026-07-27T11:14:39.775024+00:00,426.154,425.241461,306.423,148,92.32000000000001,0,SUCCESS,jobs/instance_002/repetition_001_seed_2001,jobs/instance_002/repetition_001_seed_2001/worker.log,
20260727_110733,2,2,2002,6,987259,2026-07-27T11:07:33.621043+00:00,2026-07-27T11:14:35.325705+00:00,421.705,420.860857,304.923,149,94.0,0,SUCCESS,jobs/instance_002/repetition_002_seed_2002,jobs/instance_002/repetition_002_seed_2002/worker.log,
20260727_110733,2,3,2003,7,987260,2026-07-27T11:07:33.621432+00:00,2026-07-27T11:14:33.518934+00:00,419.898,419.015897,303.957,149,96.36000000000001,0,SUCCESS,jobs/instance_002/repetition_003_seed_2003,jobs/instance_002/repetition_003_seed_2003/worker.log,
20260727_110733,2,4,2004,8,987261,2026-07-27T11:07:33.622111+00:00,2026-07-27T11:15:01.039071+00:00,447.417,446.411899,322.985,160,97.28000000000002,0,SUCCESS,jobs/instance_002/repetition_004_seed_2004,jobs/instance_002/repetition_004_seed_2004/worker.log,
20260727_110733,2,5,2005,9,987262,2026-07-27T11:07:33.623468+00:00,2026-07-27T11:14:37.753877+00:00,424.13,423.138602,307.918,149,94.72,0,SUCCESS,jobs/instance_002/repetition_005_seed_2005,jobs/instance_002/repetition_005_seed_2005/worker.log,
20260727_110733,3,1,3001,10,987263,2026-07-27T11:07:33.624857+00:00,2026-07-27T11:14:14.800093+00:00,401.175,399.931208,289.311,144,98.26,0,SUCCESS,jobs/instance_003/repetition_001_seed_3001,jobs/instance_003/repetition_001_seed_3001/worker.log,
20260727_110733,3,2,3002,11,987264,2026-07-27T11:07:33.626316+00:00,2026-07-27T11:14:22.051935+00:00,408.426,407.532323,293.645,147,96.46000000000001,0,SUCCESS,jobs/instance_003/repetition_002_seed_3002,jobs/instance_003/repetition_002_seed_3002/worker.log,
20260727_110733,3,3,3003,12,987265,2026-07-27T11:07:33.627103+00:00,2026-07-27T11:14:30.477888+00:00,416.851,415.803287,300.164,147,102.24000000000001,0,SUCCESS,jobs/instance_003/repetition_003_seed_3003,jobs/instance_003/repetition_003_seed_3003/worker.log,
20260727_110733,3,4,3004,13,987266,2026-07-27T11:07:33.627770+00:00,2026-07-27T11:14:18.020109+00:00,404.392,403.495728,291.394,147,102.88,0,SUCCESS,jobs/instance_003/repetition_004_seed_3004,jobs/instance_003/repetition_004_seed_3004/worker.log,
20260727_110733,3,5,3005,14,987267,2026-07-27T11:07:33.628417+00:00,2026-07-27T11:14:25.459206+00:00,411.831,410.848385,298.456,146,96.84,0,SUCCESS,jobs/instance_003/repetition_005_seed_3005,jobs/instance_003/repetition_005_seed_3005/worker.log,
20260727_110733,4,1,4001,15,987268,2026-07-27T11:07:33.629178+00:00,2026-07-27T11:14:38.160153+00:00,424.531,423.541297,306.687,150,102.33999999999999,0,SUCCESS,jobs/instance_004/repetition_001_seed_4001,jobs/instance_004/repetition_001_seed_4001/worker.log,
20260727_110733,4,2,4002,16,987269,2026-07-27T11:07:33.629935+00:00,2026-07-27T11:14:31.892662+00:00,418.263,417.386068,304.775,145,98.94000000000001,0,SUCCESS,jobs/instance_004/repetition_002_seed_4002,jobs/instance_004/repetition_002_seed_4002/worker.log,
20260727_110733,4,3,4003,17,987270,2026-07-27T11:07:33.630679+00:00,2026-07-27T11:14:36.532004+00:00,422.901,421.938771,310.329,146,95.1,0,SUCCESS,jobs/instance_004/repetition_003_seed_4003,jobs/instance_004/repetition_003_seed_4003/worker.log,
20260727_110733,4,4,4004,18,987273,2026-07-27T11:07:33.632321+00:00,2026-07-27T11:15:11.676660+00:00,458.044,457.041282,333.574,154,105.58,0,SUCCESS,jobs/instance_004/repetition_004_seed_4004,jobs/instance_004/repetition_004_seed_4004/worker.log,
20260727_110733,4,5,4005,19,987274,2026-07-27T11:07:33.636225+00:00,2026-07-27T11:14:19.025295+00:00,405.389,404.368907,293.459,145,103.24000000000001,0,SUCCESS,jobs/instance_004/repetition_005_seed_4005,jobs/instance_004/repetition_005_seed_4005/worker.log,
20260727_110733,5,1,5001,10,999836,2026-07-27T11:14:14.803961+00:00,2026-07-27T11:20:59.353039+00:00,404.549,403.649465,293.319,143,5445.78,0,SUCCESS,jobs/instance_005/repetition_001_seed_5001,jobs/instance_005/repetition_001_seed_5001/worker.log,
20260727_110733,5,2,5002,13,999970,2026-07-27T11:14:18.023906+00:00,2026-07-27T11:20:59.960405+00:00,401.937,400.996362,291.834,143,5445.66,0,SUCCESS,jobs/instance_005/repetition_002_seed_5002,jobs/instance_005/repetition_002_seed_5002/worker.log,
20260727_110733,5,3,5003,19,1000014,2026-07-27T11:14:19.029267+00:00,2026-07-27T11:21:00.367804+00:00,401.339,400.334489,291.482,143,5445.4,0,SUCCESS,jobs/instance_005/repetition_003_seed_5003,jobs/instance_005/repetition_003_seed_5003/worker.log,
20260727_110733,5,4,5004,11,1000126,2026-07-27T11:14:22.056014+00:00,2026-07-27T11:21:09.781929+00:00,407.726,406.878443,298.266,143,5448.78,0,SUCCESS,jobs/instance_005/repetition_004_seed_5004,jobs/instance_005/repetition_004_seed_5004/worker.log,
20260727_110733,5,5,5005,14,1000253,2026-07-27T11:14:25.463275+00:00,2026-07-27T11:21:16.601634+00:00,411.138,410.205803,301.549,143,5451.42,0,SUCCESS,jobs/instance_005/repetition_005_seed_5005,jobs/instance_005/repetition_005_seed_5005/worker.log,
20260727_110733,6,1,6001,12,1000444,2026-07-27T11:14:30.482040+00:00,2026-07-27T11:21:28.466291+00:00,417.984,417.010379,303.021,146,120.46000000000004,0,SUCCESS,jobs/instance_006/repetition_001_seed_6001,jobs/instance_006/repetition_001_seed_6001/worker.log,
20260727_110733,6,2,6002,16,1000495,2026-07-27T11:14:31.897042+00:00,2026-07-27T11:21:34.681942+00:00,422.785,421.606889,307.874,149,115.4,0,SUCCESS,jobs/instance_006/repetition_002_seed_6002,jobs/instance_006/repetition_002_seed_6002/worker.log,
20260727_110733,6,3,6003,7,1000551,2026-07-27T11:14:33.523656+00:00,2026-07-27T11:21:34.688774+00:00,421.165,420.368677,306.743,150,119.94000000000001,0,SUCCESS,jobs/instance_006/repetition_003_seed_6003,jobs/instance_006/repetition_003_seed_6003/worker.log,
20260727_110733,6,4,6004,6,1000614,2026-07-27T11:14:35.330359+00:00,2026-07-27T11:21:44.745475+00:00,429.415,428.429587,313.956,150,119.04,0,SUCCESS,jobs/instance_006/repetition_004_seed_6004,jobs/instance_006/repetition_004_seed_6004/worker.log,
20260727_110733,6,5,6005,17,1000674,2026-07-27T11:14:36.536998+00:00,2026-07-27T11:21:39.133111+00:00,422.596,421.755022,310.05,149,122.35999999999999,0,SUCCESS,jobs/instance_006/repetition_005_seed_6005,jobs/instance_006/repetition_005_seed_6005/worker.log,
20260727_110733,7,1,7001,0,1000705,2026-07-27T11:14:37.552928+00:00,2026-07-27T11:21:52.968504+00:00,435.416,434.579823,323.98,144,4385.74,0,SUCCESS,jobs/instance_007/repetition_001_seed_7001,jobs/instance_007/repetition_001_seed_7001/worker.log,
