configuration_id,T,population,perturbation,mutation_subset
1,40,20,0.25,0.1
2,40,40,0.5,0.25
3,40,60,0.75,0.5
4,80,20,0.5,0.5
5,80,40,0.75,0.1
6,80,60,0.25,0.25
7,120,20,0.75,0.25
8,120,40,0.25,0.5
9,120,60,0.5,0.1
10,80,40,0.5,0.25
