batch_id,instance_id,repetition,seed,core,pid,started_at_utc,finished_at_utc,wall_time_seconds,simulation_runtime_seconds,algorithm_time_seconds,algorithm_dispatch_count,score,return_code,status,workspace,log_path,error
20260731_084531,61,1,61001,0,4005723,2026-07-31T08:45:31.194327+00:00,2026-07-31T09:31:22.239475+00:00,2751.045,,2122.027,27,,255,FAILED,jobs/instance_061/repetition_001_seed_61001,jobs/instance_061/repetition_001_seed_61001/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,61,2,61002,1,4005724,2026-07-31T08:45:31.195037+00:00,2026-07-31T09:27:10.407597+00:00,2499.213,,1870.041,27,,255,FAILED,jobs/instance_061/repetition_002_seed_61002,jobs/instance_061/repetition_002_seed_61002/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,61,3,61003,2,4005725,2026-07-31T08:45:31.195606+00:00,2026-07-31T09:25:28.808043+00:00,2397.612,,1766.267,27,,255,FAILED,jobs/instance_061/repetition_003_seed_61003,jobs/instance_061/repetition_003_seed_61003/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,61,4,61004,3,4005726,2026-07-31T08:45:31.196118+00:00,2026-07-31T09:26:58.750796+00:00,2487.555,,1858.884,27,,255,FAILED,jobs/instance_061/repetition_004_seed_61004,jobs/instance_061/repetition_004_seed_61004/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,61,5,61005,4,4005727,2026-07-31T08:45:31.196711+00:00,2026-07-31T09:21:16.951497+00:00,2145.755,,1517.558,27,,255,FAILED,jobs/instance_061/repetition_005_seed_61005,jobs/instance_061/repetition_005_seed_61005/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,62,1,62001,5,4005728,2026-07-31T08:45:31.197247+00:00,2026-07-31T09:47:24.868086+00:00,3713.671,,3084.658,27,,255,FAILED,jobs/instance_062/repetition_001_seed_62001,jobs/instance_062/repetition_001_seed_62001/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,62,2,62002,6,4005729,2026-07-31T08:45:31.197782+00:00,2026-07-31T09:41:16.433918+00:00,3345.236,,2716.187,27,,255,FAILED,jobs/instance_062/repetition_002_seed_62002,jobs/instance_062/repetition_002_seed_62002/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,62,3,62003,7,4005730,2026-07-31T08:45:31.198418+00:00,2026-07-31T10:27:32.084652+00:00,6120.886,,5484.34,37,,255,FAILED,jobs/instance_062/repetition_003_seed_62003,jobs/instance_062/repetition_003_seed_62003/worker.log,worker exited with code 255; missing final score; missing simulation runtime
20260731_084531,62,4,62004,8,4005731,2026-07-31T08:45:31.199053+00:00,2026-07-31T10:27:05.853509+00:00,6094.654,6093.724984,6058.248,37,9.223372036854776e+18,0,SUCCESS,jobs/instance_062/repetition_004_seed_62004,jobs/instance_062/repetition_004_seed_62004/worker.log,
20260731_084531,62,5,62005,9,4005732,2026-07-31T08:45:31.199789+00:00,2026-07-31T10:42:06.678699+00:00,6995.479,6994.334943,6956.997,40,9.223372036854776e+18,0,SUCCESS,jobs/instance_062/repetition_005_seed_62005,jobs/instance_062/repetition_005_seed_62005/worker.log,
